page_count,avg_page_length,entity_density,relation_indicators,topic_diversity,topic_transitions,is_qna_pattern,is_decision_tree,is_entity centric,time_span,temporal_density,semantic_complexity,hyperedge_density,visual_salience_score
6.0,108.666664,1.8333334,1.5,1.0,1.0,1.0,0.0,1.0,0.04173611,3.3333333,0.050469793,9.166667,0.16405778
6.0,167.0,1.6666666,2.0,2.0,2.2,1.0,0.0,1.0,0.061319444,3.6666667,0.039658714,10.333333,0.12964736
6.0,115.833336,0.6666667,0.33333334,2.0,2.2,1.0,0.0,1.0,0.029305555,1.0,0.052778717,3.6666667,0.21384552
7.0,57.714287,1.7142857,1.5714285,1.4285715,1.5,0.0,0.0,1.0,0.021805555,3.2857144,0.046947617,9.0,-0.08001204
6.0,107.333336,1.0,0.6666667,1.1666666,1.6,1.0,0.0,1.0,0.04104167,1.6666666,0.047128942,4.8333335,0.19452946
6.0,93.5,1.8333334,1.6666666,1.6666666,2.2,1.0,0.0,1.0,0.03715278,3.5,0.04769457,7.6666665,0.16075666
6.0,42.333332,1.3333334,1.0,1.5,2.0,1.0,0.0,1.0,0.013263889,2.3333333,0.07018961,6.3333335,0.16473901
8.0,42.25,1.75,1.375,1.625,1.8571428,0.0,0.0,1.0,0.026944444,3.125,0.04766359,8.25,0.12314404
7.0,46.785713,2.0,1.4285715,1.8571428,2.0,1.0,0.0,1.0,0.021875,3.4285715,0.059669655,8.857142,-0.26038474
6.0,75.416664,1.0,1.0,1.8333334,2.0,1.0,0.0,1.0,0.03784722,2.0,0.053272206,5.3333335,0.2122202
6.0,103.583336,2.1666667,3.5,2.0,2.2,1.0,0.0,1.0,0.03652778,5.6666665,0.054019984,16.833334,0.05305974
7.0,47.07143,2.2857144,2.142857,1.4285715,1.5,1.0,0.0,1.0,0.020694444,4.428571,0.05604157,10.285714,0.0
6.0,51.083332,1.6666666,1.8333334,2.0,2.2,1.0,0.0,1.0,0.016666668,3.5,0.060379706,9.0,0.033024218
6.0,120.5,1.1666666,1.0,2.0,2.2,1.0,0.0,1.0,0.04111111,2.1666667,0.08908546,5.8333335,-0.007555976
6.0,106.166664,1.6666666,1.6666666,2.0,2.2,1.0,0.0,1.0,0.035833333,3.3333333,0.05136049,10.0,0.0
6.0,164.16667,1.3333334,1.1666666,2.0,2.2,1.0,0.0,1.0,0.060069446,2.5,0.051813193,5.0,0.20373629
8.0,48.8125,1.0,0.375,1.75,1.8571428,1.0,0.0,1.0,0.025208334,1.375,0.056102883,4.625,0.12298101
6.0,101.5,1.8333334,1.5,1.8333334,2.0,1.0,0.0,1.0,0.032847222,3.3333333,0.05734785,11.0,0.0
6.0,73.583336,1.0,0.6666667,2.0,2.2,1.0,0.0,1.0,0.033958334,1.6666666,0.04692833,4.0,0.2021876
6.0,46.75,0.8333333,0.5,0.8333333,1.8,1.0,0.0,1.0,0.01826389,1.3333334,0.07428375,4.3333335,0.0
8.0,47.75,0.625,0.5,1.5,1.8571428,1.0,0.0,1.0,0.022847222,1.125,0.057165936,3.75,0.12322609
6.0,112.333336,1.8333334,1.0,2.0,2.2,1.0,0.0,1.0,0.040347222,2.8333333,0.0499922,5.6666665,-0.14044318
6.0,102.5,1.6666666,1.5,1.5,1.6,1.0,0.0,1.0,0.03,3.1666667,0.04247671,9.0,0.16422017
